ID,Nombre,X,Y,Carga,Diametro,Instalacion,Ubicacion,SensorMaterial,SensorUbicacion,FuenteTipo1,FuenteNombre1,FuenteUbicacion1,FuenteTipo2,FuenteNombre2,FuenteUbicacion2
28,A. ORIENTAL,-99.0813111111,19.4016166667,0.26,48,2017,Río Churubusco y Sur 8 Colonia Agrícola Oriental Alcaldía Iztacalco C.P. 08500,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
29,SUR 8,-99.0619583333,19.3984277778,0.31,48,2017,Avenida Sur 8 y Oriente 257 Colonia Agrícola Oriental Alcaldía Iztacalco C.P. 08500,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
30,BRETAÑA,-99.1390138889,19.3731916667,0.32,48,2017,Calle Bretaña y Lourdes Colonia Zacahuitzco Alcaldía Benito Juárez C.P. 03550,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,,,
31,MOLINOS,-99.1901916667,19.37265,0.29,12,2017,Calle Molinos y Santiago Rebull Colonia Mixcoac Alcaldía Benito Juárez C.P. 09100,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,,,
32,AMORES,-99.17065,19.3668166667,0.3,36,2017,Calle Amores y J. María Rico Colonia Del Valle Sur Alcaldía Benito Juárez C.P. 03100,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,,,
33,REPUBLICAS,-99.1552055556,19.3647333333,0.31,48,2017,Av. División del Norte y Repúblicas Colonia Portales Alcaldía Benito Juárez C.P. 03303,Acero,Eje del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
34,NEVADO,-99.1451638889,19.3591666667,0.24,48,2017,Calle Nevado y Alhambra Colonia Portales Alcaldía Benito Juárez C.P. 03303,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,,,
35,DAKOTA,-99.1751083333,19.3946416667,0.281,24,2017,Calle Calle Dakota y Arizona Colonia Nápoles Alcaldía Benito Juárez C.P. 03810,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,,,
36,CORUÑA,-99.1418722222,19.4020527778,0.352,48,2017,Calle Coruña y Castilla Colonia Álamos Alcaldía Benito Juárez C.P. 03400,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,,,
37,M. ANGEL,-99.1353972222,19.3953944444,0.312,48,2017,Calle Miguel Ángel y Juana de Arco Colonia Moderna Alcaldía Benito Juárez C.P. 03510,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
38,J. DEL PEDREGAL,-99.2091777778,19.3316333333,0.234,8,2017,Av. Periférico Sur y San Jerónimo Colonia Jardines del Pedregal Alcaldía Álvaro Obregón C.P. 01900,Fierro Fundido,Lomo del tubo,Pozo,Pozos de la Zona,Sin descripción,,,
39,CUAJIMALPA,-99.2864611111,19.3684916667,0.267,12,2017,Av. Constituyente Héctor Victoria y Nogal Colonia San José de los Cedros Alcaldía Cuajimalpa C.P. 05200,Acero,Lomo del tubo,Tanque,Tanque El Cartero,Calle Loma Tlapexco 166 Colonia Lomas de Vista Hermosa Alcaldía Cuajimalpa de Morelos C.P. 05100,,,
40,UNIVERSIDAD,-99.177925,19.3463194444,0.285,20,2017,Av. Miguel Ángel de Quevedo y Salvador Novo Colonia Romero de Terreros Alcaldía Coyoacán C.P. 04310,Polietileno,Lomo del tubo,Tanque,Tanque Lienzo,Calle Glaciar 121 Colonia Olivar de los Padres Alcaldía Álvaro Obregón C.P. 01780,,,
41,VIA LACTEA,-99.1300305556,19.3583527778,0.412,48,2017,Av. Vía Láctea y Ermita Iztapalapa Colonia Prado Churubusco Alcaldía Coyoacán C.P. 04230,s/d,s/d,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
42,STA. URSULA,-99.1617944444,19.3116416667,0.497,12,2017,Av. Santa Úrsula y San Valentín Colonia Pedregal Sta. Úrsula Alcaldía Tlalpan C.P.  04600,Fierro Fundido,Lomo del tubo,Pozo,Pozos de la Zona,Sin descripción,,,
43,CAFETALES,-99.1137444444,19.3208666667,0.29,20,2017,Av. Eje 3 Ote. y Calz. La Virgen Colonia Culhuacán Sección Piloto Alcaldía Coyoacán C.P.  04480,Acero,Eje del tubo,Pozo,Pozos Tulyehualco,Sin descripción,,,
