ID,X,Y
1731,-99.070556,19.347122
1732,-99.065556,19.347122
1733,-99.060556,19.347122
1734,-99.055556,19.347122
1735,-99.050556,19.347122
1736,-99.045556,19.347122
1737,-99.040556,19.347122
1738,-99.035556,19.347122
1739,-99.030556,19.347122
1740,-99.025556,19.347122
1741,-99.020556,19.347122
1742,-99.015556,19.347122
1743,-99.010556,19.347122
1744,-99.005556,19.347122
1745,-99.000556,19.347122
1746,-98.995556,19.347122
1747,-98.990556,19.347122
1748,-98.985556,19.347122
1749,-98.980556,19.347122
1750,-99.325556,19.352122
1751,-99.320556,19.352122
1752,-99.315556,19.352122
1753,-99.310556,19.352122
1754,-99.305556,19.352122
1755,-99.300556,19.352122
1756,-99.295556,19.352122
1757,-99.290556,19.352122
1758,-99.285556,19.352122
1759,-99.280556,19.352122
1760,-99.275556,19.352122
1761,-99.270556,19.352122
1762,-99.265556,19.352122
1763,-99.260556,19.352122
1764,-99.255556,19.352122
1765,-99.250556,19.352122
1766,-99.245556,19.352122
1767,-99.240556,19.352122
1768,-99.235556,19.352122
1769,-99.230556,19.352122
1770,-99.225556,19.352122
1771,-99.220556,19.352122
1772,-99.215556,19.352122
1773,-99.210556,19.352122
1774,-99.205556,19.352122
1775,-99.200556,19.352122
1776,-99.195556,19.352122
1777,-99.190556,19.352122
1778,-99.185556,19.352122
1779,-99.180556,19.352122
1780,-99.175556,19.352122
1781,-99.170556,19.352122
1782,-99.165556,19.352122
1783,-99.160556,19.352122
1784,-99.155556,19.352122
1785,-99.150556,19.352122
1786,-99.145556,19.352122
1787,-99.140556,19.352122
1788,-99.135556,19.352122
1789,-99.130556,19.352122
1790,-99.125556,19.352122
1791,-99.120556,19.352122
1792,-99.115556,19.352122
1793,-99.110556,19.352122
1794,-99.105556,19.352122
1795,-99.100556,19.352122
1796,-99.095556,19.352122
1797,-99.090556,19.352122
1798,-99.085556,19.352122
1799,-99.080556,19.352122
1800,-99.075556,19.352122
1801,-99.070556,19.352122
1802,-99.065556,19.352122
1803,-99.060556,19.352122
1804,-99.055556,19.352122
1805,-99.050556,19.352122
1806,-99.045556,19.352122
1807,-99.040556,19.352122
1808,-99.035556,19.352122
1809,-99.030556,19.352122
1810,-99.025556,19.352122
1811,-99.020556,19.352122
1812,-99.015556,19.352122
1813,-99.010556,19.352122
1814,-99.005556,19.352122
1815,-99.000556,19.352122
1816,-98.995556,19.352122
1817,-98.990556,19.352122
1818,-98.985556,19.352122
1819,-99.330556,19.357122
1820,-99.325556,19.357122
1821,-99.320556,19.357122
1822,-99.315556,19.357122
1823,-99.310556,19.357122
1824,-99.305556,19.357122
1825,-99.300556,19.357122
1826,-99.295556,19.357122
1827,-99.290556,19.357122
1828,-99.285556,19.357122
1829,-99.280556,19.357122
1830,-99.275556,19.357122
1831,-99.270556,19.357122
1832,-99.265556,19.357122
1833,-99.260556,19.357122
1834,-99.255556,19.357122
1835,-99.250556,19.357122
1836,-99.245556,19.357122
